# rom	genre	players	orientation	parent	title	year	maker -- made by tools/make-gameinfo.py from FinalBurn Neo
cabala	Shooter	2	horizontal	cabal	Cabal (Korea?, Joystick)	1989	TAD Corporation (Alpha Trading license)
cabalexsv	Shooter	2	horizontal	cabal	Cabal (Ex Super Version 2009-03-09) (Hack)	2009	Pipi899
cabalng	Shooter	2	horizontal		Cabal - Neo Geo Conversion (HB)	1988-2021	TAD Corporation - iq_132
cabaluk	Shooter	2	horizontal	cabal	Cabal (UK, Trackball)	1989	TAD Corporation (Electrocoin license)
cabalukj	Shooter	2	horizontal	cabal	Cabal (UK, Joystick)	1989	TAD Corporation (Electrocoin license)
cabalus	Shooter	2	horizontal	cabal	Cabal (US set 1, Trackball)	1988	TAD Corporation (Fabtek license)
cabalus2	Shooter	2	horizontal	cabal	Cabal (US set 2, Trackball)	1988	TAD Corporation (Fabtek license)
cachat	Puzzle	2	horizontal		Cachat (Japan)	1993	Taito Corporation
cactus	Platform	2	horizontal	sabotenb	Cactus (bootleg of Saboten Bombers)	1992	bootleg
cadanglr	Sports	2	vertical		Angler Dangler (DECO Cassette) (US)	1982	Data East Corporation
cadash	Beat 'em up	2	horizontal		Cadash (World)	1989	Taito
cadashf	Beat 'em up	2	horizontal	cadash	Cadash (France)	1989	Taito
cadashg	Beat 'em up	2	horizontal	cadash	Cadash (Germany, rev 1)	1989	Taito
cadashgo	Beat 'em up	2	horizontal	cadash	Cadash (Germany)	1989	Taito
cadashi	Beat 'em up	2	horizontal	cadash	Cadash (Italy)	1989	Taito
cadashj	Beat 'em up	2	horizontal	cadash	Cadash (Japan, rev 2)	1989	Taito
cadashj1	Beat 'em up	2	horizontal	cadash	Cadash (Japan, rev 1)	1989	Taito
cadashjo	Beat 'em up	2	horizontal	cadash	Cadash (Japan)	1989	Taito
cadashp	Beat 'em up	2	horizontal	cadash	Cadash (World, prototype)	1989	Taito
cadashs	Beat 'em up	2	horizontal	cadash	Cadash (Spain, rev 1)	1989	Taito
cadashso	Beat 'em up	2	horizontal	cadash	Cadash (Spain)	1989	Taito
cadashu	Beat 'em up	2	horizontal	cadash	Cadash (US, rev 2)	1989	Taito America
cadashu1	Beat 'em up	2	horizontal	cadash	Cadash (US, rev 1?)	1989	Taito America
cairblad	Vertical shooter	2	vertical		Change Air Blade (Japan)	1999	Sammy
cakefght	Vertical shooter	2	horizontal	twinspri	Cake Fighter (hack of Twinkle Star Sprites)	2022	hack
calibr50	Run & gun	2	vertical		Caliber 50 (Ver. 1.01)	1989	Seta
calipso	Maze	2	vertical		Calipso	1982	Tago Electronics
calorie	Platform	2	horizontal		Calorie Kun vs Moguranian	1986	Sega
calorieb	Platform	2	horizontal	calorie	Calorie Kun vs Moguranian (bootleg)	1986	bootleg
cameltry	Maze	2	horizontal		Cameltry (World, YM2610)	1989	Taito America Corporation
cameltrya	Maze	2	horizontal	cameltry	Cameltry (World, YM2203 + M6295)	1989	Taito America Corporation
cameltryau	Maze	2	horizontal	cameltry	Cameltry (US, YM2203 + M6295)	1989	Taito America Corporation
cameltryj	Maze	2	horizontal	cameltry	Cameltry (Japan, YM2610)	1989	Taito Corporation
cameltryu	Maze	2	horizontal	cameltry	Cameltry (US, YM2610)	1989	Taito America Corporation
candance	Platform / Beat 'em up	2	horizontal	osman	Cannon Dancer (Japan)	1996	Mitchell (Atlus license)
candory	Platform	2	horizontal	ponpoko	Candory (Ponpoko bootleg with Mario)	1982	bootleg
candy	Misc	2	horizontal		Candy Candy	1999	Eolith
cannball	Puzzle	2	horizontal		Cannon Ball (Yun Sung, horizontal)	1995	Yun Sung / Soft Vision
cannballv	Puzzle	2	vertical	cannball	Cannon Ball (Yun Sung, vertical)	1995	Yun Sung / J&K Production
cannonb	Misc	2	vertical	cannonbp	Cannon Ball (bootleg on Crazy Kong hardware) (set 1, buggy)	1985	bootleg (Soft)
cannonb2	Misc	2	vertical	cannonbp	Cannon Ball (bootleg on Crazy Kong hardware) (set 2, buggy)	1985	bootleg (TV Game Gruenberg)
cannonb3	Misc	2	vertical	cannonbp	Cannon Ball (bootleg on Crazy Kong hardware) (set 3, no bonus game)	1985	bootleg (Soft)
cannonbp	Breakout	2	vertical		Cannon Ball (Pac-Man Hardware)	1985	Novomatic
canvas	Maze	2	horizontal		Canvas Croquis	1985	SNK
canyon	Shooter	2	horizontal		Canyon Bomber	1977	Atari
canyonp	Shooter	2	horizontal	canyon	Canyon Bomber (prototype)	1977	Atari
capbowl	Sports	2	vertical		Capcom Bowling (set 1)	1988	Incredible Technologies / Capcom
capbowl2	Sports	2	vertical	capbowl	Capcom Bowling (set 2)	1988	Incredible Technologies / Capcom
capbowl3	Sports	2	vertical	capbowl	Capcom Bowling (set 3)	1988	Incredible Technologies / Capcom
capbowl4	Sports	2	vertical	capbowl	Capcom Bowling (set 4)	1988	Incredible Technologies / Capcom
capitol	Shooter	2	vertical	pleiads	Capitol	1981	bootleg? (Universal Video Spiel)
captainbarrel	Platform	2	horizontal		Captain Barrel (HB)	2024	Neo Byte Force
captaven	Beat 'em up	4	horizontal		Captain America and The Avengers (Asia Rev 1.4)	1991	Data East Corporation
captavena	Beat 'em up	4	horizontal	captaven	Captain America and The Avengers (Asia Rev 1.0)	1991	Data East Corporation
captavene	Beat 'em up	4	horizontal	captaven	Captain America and The Avengers (UK Rev 1.4)	1991	Data East Corporation
captavenj	Beat 'em up	4	horizontal	captaven	Captain America and The Avengers (Japan Rev 0.2)	1991	Data East Corporation
